[sigla],[Tipo],[Grupo],[Classe]
ABC,Adjunta,C,5
AGEHAB,Adjunta,B,2
AGR,Setorial,A,2
AGRODEFESA,Adjunta,B,4
CBM,Adjunta,B,4
CEASA,Adjunta,B,4
CELG GT,Inativa,N/A,N/A
CELGPAR,Adjunta,C,5
CGE,Setorial,A,3
CODEGO,Adjunta,C,5
DETRAN,Setorial,A,1
DGPP,Adjunta,B,3
ECONOMIA,Setorial,A,2
EMATER,Adjunta,B,4
ENEL,Inativa,N/A,N/A
FAPEG,Adjunta,B,5
GOIAS TELECOM,Adjunta,C,5
GOIAS TURISMO,Adjunta,C,5
GOIÁSFOMENTO,Adjunta,B,5
GOIASGÁS,Adjunta,C,5
GOIASPARCERIAS,Adjunta,C,5
GOIASPREV,Adjunta,B,4
GOINFRA,Setorial,A,3
IPASGO,Inativa,N/A,N/A
IQUEGO,Adjunta,C,5
JUCEG,Adjunta,B,4
METROBUS,Adjunta,B,4
OUVMULHER,Adjunta,B,3
OVG,Adjunta,B,3
PC,Adjunta,,3
PGE,Adjunta,B,4
PM,Adjunta,B,4
PREVCOM-BrC,Adjunta,C,5
SANEAGO,Setorial,A,1
SEAD,Setorial,A,2
SEAPA,Adjunta,C,5
SECAMI,Adjunta,C,5
SECC,Adjunta,C,5
SECOM,Adjunta,C,5
SECTI,Adjunta,B,4
SECULT,Setorial,A,4
SEDF,Adjunta,C,5
SEDI,Inativa,N/A,N/A
SEDS,Setorial,A,3
SEDUC,Setorial,A,1
SEEL,Adjunta,C,4
SEGOV,Inativa,N/A,N/A
SEINFRA,Setorial,A,5
SEL,Adjunta,N/A,N/A
SEMAD,Setorial,A,2
SER,Adjunta,B,4
SERINT,Adjunta,B,4
SES,Setorial,A,2
SGG/GOVERNADORIA,Adjunta,B,4
SIC,Adjunta,C,5
SSP,Setorial,A,2
UEG,Setorial,A,3
Vice-Gov,Adjunta,C,5
