[ID],[TableID],[Name],[Description],[DataType],[Expression],[FormatString],[IsHidden],[State],[ModifiedTime],[StructureModifiedTime],[KPIID],[IsSimpleMeasure],[ErrorMessage],[DisplayFolder],[DetailRowsDefinitionID],[DataCategory],[LineageTag],[SourceLineageTag]
25985,25960,base_qtd_manifestacoes_em_aberto,Manifestações com status Aberta no SGOe.,6,"VAR resultado =
    CALCULATE (
        COUNTROWS ( f_relatorio ),
        KEEPFILTERS ( f_relatorio[ds_status] = ""Em Aberto"" )
    )
RETURN
    COALESCE ( resultado, 0 )","#,0",False,1,20/04/2026 21:05:03,20/04/2026 18:06:01,,False,,01 · Volume,,,5f2eeeae-bff5-4c4c-a984-b2f25aad547f,
25986,25960,base_qtd_manifestacoes,"Total de manifestações registradas no período, independente do status.",6,"VAR resultado =
    COUNTROWS ( f_relatorio )
RETURN
    COALESCE ( resultado, 0 )","#,0",False,1,20/04/2026 21:05:03,20/04/2026 18:06:01,,False,,01 · Volume,,,fe78aa7a-330c-4678-b47a-2b2243afa9d9,
25987,25960,base_qtd_manifestacoes_finalizadas,Manifestações com status Fechada ou Respondida no SGOe.,6,"VAR total_manifestacoes = [base_qtd_manifestacoes]
VAR em_aberto = [base_qtd_manifestacoes_em_aberto]
RETURN
    total_manifestacoes - em_aberto","#,0",False,1,20/04/2026 21:05:03,20/04/2026 18:06:01,,False,,01 · Volume,,,425e950f-2831-4bf4-9221-201f3129671f,
25988,25960,base_qtd_mais_30_dias,Manifestações com mais de 30 dias de vida (dias_vida > 30). Numerador do KRI 1.,6,"VAR resultado =
    CALCULATE (
        COUNTROWS ( f_relatorio ),
        KEEPFILTERS ( f_relatorio[dias_vida] > 30 )
    )
RETURN
    COALESCE ( resultado, 0 )","#,0",False,1,20/04/2026 21:05:03,20/04/2026 18:06:01,,False,,04 · Tempo,,,78e83e66-7486-4a48-a34c-82ffbe02c5cc,
25989,25960,base_qtd_lai,"Manifestações do tipo LAI (Lei de Acesso à Informação), excluídas de alguns indicadores.",6,"VAR resultado =
    CALCULATE (
        [base_qtd_manifestacoes_finalizadas],
        KEEPFILTERS ( f_relatorio[tipo_manifestacao] = ""L.A.I."" )
    )
RETURN
    COALESCE ( resultado, 0 )","#,0",False,1,20/04/2026 21:05:03,20/04/2026 18:06:01,,False,,01 · Volume,,,b4557b7b-a852-4ab9-957b-302ee7ea22cb,
25990,25960,base_manifestacoes_elegiveis,Manifestações finalizadas descontando as LAI. Denominador base para KRI 3 e KRI 4.,6,"VAR finalizadas = [base_qtd_manifestacoes_finalizadas]
VAR lai = [base_qtd_lai]
RETURN
    finalizadas - lai","#,0",False,1,20/04/2026 21:05:03,20/04/2026 18:06:01,,False,,01 · Volume,,,bf32aec7-2830-4ea1-ac88-0aa505d6aa8f,
25991,25960,base_qtd_pesquisa,Total de respostas recebidas na pesquisa de satisfação (linhas em f_pesquisa). TREATAS propaga filtro de dOrgao_igro[sigla].,6,"VAR _siglas = VALUES(dOrgao_igro[sigla])
VAR resultado =
    CALCULATE(
        COUNTROWS(f_pesquisa),
        TREATAS(_siglas, f_pesquisa[sigla])
    )
RETURN
    COALESCE(resultado, 0)","#,0",False,1,21/04/2026 22:54:01,20/04/2026 18:06:01,,False,,02 · Pesquisa de Satisfação,,,8141db78-3d35-4b75-94bc-5e214047cd07,
25992,25960,base_qtd_sim,Pesquisas em que o cidadão respondeu que a demanda foi resolvida totalmente (finalizacao = 'Sim'). TREATAS propaga filtro de dOrgao_igro[sigla].,6,"VAR _siglas = VALUES(dOrgao_igro[sigla])
VAR resultado =
    CALCULATE(
        COUNTROWS(f_pesquisa),
        TREATAS(_siglas, f_pesquisa[sigla]),
        KEEPFILTERS(f_pesquisa[finalizacao] = ""Sim"")
    )
RETURN
    COALESCE(resultado, 0)","#,0",False,1,21/04/2026 22:54:01,20/04/2026 18:06:01,,False,,02 · Pesquisa de Satisfação,,,baad3e69-1f61-4a1f-b6e9-809498bf23e0,
25993,25960,base_qtd_parcialmente,Pesquisas em que o cidadão respondeu que a demanda foi resolvida parcialmente (finalizacao = 'Parcialmente'). TREATAS propaga filtro de dOrgao_igro[sigla].,6,"VAR _siglas = VALUES(dOrgao_igro[sigla])
VAR resultado =
    CALCULATE(
        COUNTROWS(f_pesquisa),
        TREATAS(_siglas, f_pesquisa[sigla]),
        KEEPFILTERS(f_pesquisa[finalizacao] = ""Parcialmente"")
    )
RETURN
    COALESCE(resultado, 0)","#,0",False,1,21/04/2026 22:54:01,20/04/2026 18:06:01,,False,,02 · Pesquisa de Satisfação,,,1adcbde3-6785-4dbe-b38a-93170f3d6fc7,
25994,25960,base_qtd_respostas_insatisfatorias,Total de linhas em f_insatisfatorias. Respostas reprovadas na revisão de qualidade. TREATAS propaga filtro de dOrgao_igro[sigla].,6,"VAR _siglas = VALUES(dOrgao_igro[sigla])
VAR resultado =
    CALCULATE(
        COUNTROWS(f_insatisfatorias),
        TREATAS(_siglas, f_insatisfatorias[sigla])
    )
RETURN
    COALESCE(resultado, 0)","#,0",False,1,21/04/2026 22:54:01,20/04/2026 18:06:01,,False,,03 · Qualidade,,,008b465b-ee14-4fb4-a3f2-b710878fd9d9,
