[ID],[ModelID],[Name],[DataCategory],[Description],[IsHidden],[TableStorageID],[ModifiedTime],[StructureModifiedTime],[SystemFlags],[ShowAsVariationsOnly],[IsPrivate],[DefaultDetailRowsDefinitionID],[AlternateSourcePrecedence],[RefreshPolicyID],[CalculationGroupID],[ExcludeFromModelRefresh],[LineageTag],[SourceLineageTag],[SystemManaged],[ExcludeFromAutomaticAggregations]
2132,1,f_relatorio,,"[Fato] Tabela central do modelo. Contém todas as manifestações registradas no SGOe — uma linha por manifestação, independente do status. Base principal para volume, tempo, procedência, recursos e relacionamento com pesquisas e respostas insatisfatórias.",False,2384,01/05/2026 18:19:52,21/04/2026 22:51:04,0,False,False,,0,,,False,1ef260cb-def5-48b1-a775-38f30eab2601,,False,False
2135,1,DateTableTemplate_f86ca7c4-d759-4563-ab6d-b4d871146920,,[Sistema] Template interno de data criado pelo Power BI para hierarquias automáticas. Mantido oculto; preferir dCalendario para análises temporais.,True,2386,01/05/2026 18:19:52,20/04/2026 17:07:37,2,False,True,,0,,,False,b8ed0562-4fcd-445b-836d-6c44013607fd,,False,False
4252,1,f_pesquisa,,"[Fato] Respostas da pesquisa de satisfação enviada ao cidadão após a finalização da manifestação. Uma linha por resposta recebida. Base dos indicadores de resolutividade, nota de recomendação, NPS e amostra de pesquisa.",False,4344,01/05/2026 18:19:52,21/04/2026 22:51:04,0,False,False,,0,,,False,d06eabcf-7571-48f4-9dd1-44575bf506a3,,False,False
4255,1,LocalDateTable_57787129-2bcd-48d2-807b-2fbedee7bd7d,,[Sistema] Tabela local automática de datas gerada pelo Power BI para f_pesquisa[data_resposta_pesquisa]. Mantida oculta; preferir dCalendario sempre que possível.,True,4346,01/05/2026 18:19:52,20/04/2026 17:08:43,2,True,False,,0,,,False,1003b1c1-8680-4b84-a044-496a24f42f36,,False,False
6304,1,f_insatisfatorias,,[Fato] Subconjunto das manifestações cuja resposta foi avaliada como insatisfatória pela equipe da ouvidoria. Uma linha por resposta reprovada na revisão de qualidade. Base do KRI de respostas insatisfatórias.,False,6517,01/05/2026 18:19:52,21/04/2026 22:51:04,0,False,False,,0,,,False,04ca9373-3d14-478c-8274-88ed004c9eab,,False,False
6307,1,LocalDateTable_39814db9-3be3-4799-a6e9-766140062061,,[Sistema] Tabela local automática de datas gerada pelo Power BI para f_insatisfatorias[data_manifestacao]. Mantida oculta; preferir dCalendario sempre que possível.,True,6519,01/05/2026 18:19:52,20/04/2026 17:10:40,2,True,False,,0,,,False,d3614500-cd5a-432c-95ef-047c12dc24f5,,False,False
6310,1,LocalDateTable_19139d03-23fa-4bfa-91e8-4fe9100c0b7c,,[Sistema] Tabela local automática de datas gerada pelo Power BI para f_insatisfatorias[data_finalizacao]. Mantida oculta; preferir dCalendario sempre que possível.,True,6521,01/05/2026 18:19:52,20/04/2026 17:10:40,2,True,False,,0,,,False,ce30d4f8-d9e3-4e5f-bba1-5573be88acd4,,False,False
6313,1,LocalDateTable_89d62a24-1048-4894-9db0-6307d404f36e,,[Sistema] Tabela local automática de datas gerada pelo Power BI para f_insatisfatorias[data_revisao]. Mantida oculta; preferir dCalendario sempre que possível.,True,6523,01/05/2026 18:19:52,20/04/2026 17:10:40,2,True,False,,0,,,False,5f0f507c-032d-4e0a-b224-2011b39a0610,,False,False
22744,1,LocalDateTable_c6d333d1-ec5f-4b92-8fde-71e466729d16,,[Sistema] Tabela local automática de datas gerada pelo Power BI para f_pesquisa[data_manifestacao]. Mantida oculta; preferir dCalendario sempre que possível.,True,22784,01/05/2026 18:19:52,20/04/2026 17:48:40,2,True,False,,0,,,False,4c01d6f9-633b-4c91-95c4-790eedba9951,,False,False
25960,1,_medidas,,[Tabela técnica] Contêiner organizacional das medidas DAX do modelo. Não representa entidade de negócio e não deve ser usada como dimensão ou fato em visuais.,False,25966,01/05/2026 18:19:52,29/04/2026 00:53:26,2,False,False,,0,,,False,0e831e77-6aee-4c26-8ba6-8b41deee12c6,,False,False
29279,1,dCalendario,Time,"[Dimensão] Calendário corporativo do modelo. Controla análises temporais por dia, mês, trimestre, quadrimestre, semestre e ano. A relação ativa principal usa f_relatorio[data_manifestacao].",False,29285,01/05/2026 18:19:52,20/04/2026 22:04:56,2,False,False,,0,,,False,b5d67530-7ced-4640-8414-2e2444da16f7,,False,False
31354,1,dOrgao_igro,,"[Dimensão] Cadastro analítico de órgãos da rede de ouvidorias para o IGRO. Classifica cada sigla por tipo, grupo e classe, servindo como eixo institucional dos rankings, filtros e comparações.",False,31372,01/05/2026 18:19:52,21/04/2026 22:51:04,0,False,False,,0,,,False,22c4bafd-c6cf-4804-940f-94743964c4a3,,False,False
39064,1,LocalDateTable_c5428810-d49e-4c18-b272-7882a599a119,,[Sistema] Tabela local automática de datas gerada pelo Power BI para f_relatorio[data_finalizacao]. Mantida oculta; preferir dCalendario sempre que possível.,True,39136,01/05/2026 18:19:52,21/04/2026 22:53:41,2,True,False,,0,,,False,bf0ceff7-20dc-4c8a-86e5-a3b3f41f970d,,False,False
39487,1,LocalDateTable_3e180244-5cb5-4814-8de3-11412ceb1457,,[Sistema] Tabela local automática de datas gerada pelo Power BI para f_relatorio[data_revisao]. Mantida oculta; preferir dCalendario sempre que possível.,True,39527,01/05/2026 18:19:52,21/04/2026 22:53:45,2,True,False,,0,,,False,4dc72eb6-60b6-48e0-a8da-b2281a5ab5c7,,False,False
