orgao,classe_operacional,manifestacoes,pesquisas,tmr_dias,pma_pct,rp_pct,ri_pct,nr_nps,igro_pct,faixa_risco,amostra_insuficiente,grupo
GOINFRA,3,2109,501,4.46,0.05,73.45,1.71,73.85,100.0,Controlado,False,Top 10
SEMAD,2,6126,429,3.21,0.24,67.72,0.11,67.6,97.69,Controlado,False,Top 10
METROBUS,4,190,23,3.77,0.0,65.22,0.53,39.13,95.1,Controlado,False,Top 10
DGPP,3,1089,60,4.17,0.0,65.0,0.9199999999999999,56.67,94.87,Controlado,False,Top 10
GOIÁSFOMENTO,5,119,17,5.87,0.0,76.47,1.68,52.94,94.66,Controlado,False,Top 10
CBM,4,415,34,6.37,0.0,69.12,0.96,58.82,90.59,Controlado,False,Top 10
OVG,3,1240,74,6.23,0.0,66.89,0.8099999999999999,52.7,89.4,Atencao,False,Top 10
GOIASPREV,4,753,134,4.99,0.13,60.07,1.2,44.03,89.21,Atencao,False,Top 10
SECTI,4,308,29,7.54,0.32,75.86,1.95,68.97,83.41,Atencao,False,Top 10
AGRODEFESA,4,242,18,7.69,0.41000000000000003,77.78,0.83,66.67,82.28999999999999,Atencao,False,Top 10
CELGPAR,5,4,1,18.75,50.0,100.0,0.0,100.0,0.0,Critico,False,Bottom 10
GOIAS TELECOM,5,6,0,11.33,16.669999999999998,0.0,0.0,0.0,0.0,Critico,True,Bottom 10
GOIAS TURISMO,5,20,1,19.65,25.0,100.0,0.0,100.0,0.0,Critico,False,Bottom 10
OUVMULHER,5,39,4,12.38,2.56,50.0,0.0,75.0,0.0,Critico,False,Bottom 10
PGE,4,291,40,11.53,6.1899999999999995,70.0,2.75,55.0,0.0,Critico,False,Bottom 10
PREVCOM-BrC,5,16,1,16.31,6.25,100.0,0.0,100.0,0.0,Critico,False,Bottom 10
SECAMI,5,53,3,56.79,35.85,66.67,0.0,33.33,0.0,Critico,False,Bottom 10
SEEL,4,156,8,16.77,19.869999999999997,75.0,1.28,0.0,0.0,Critico,False,Bottom 10
UEG,3,1850,159,16.14,7.62,65.09,1.24,46.54,0.0,Critico,False,Bottom 10
Vice-Gov,5,5,1,18.8,20.0,0.0,0.0,-100.0,0.0,Critico,False,Bottom 10
