orgao,uniforme_geometrico,tempestividade_pesada,qualidade_pesada,aritmetico_uniforme,rank_uniforme_geometrico,rank_tempestividade_pesada,rank_qualidade_pesada,rank_aritmetico_uniforme
GOINFRA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SEMAD,0.976038918844687,0.9839654416088536,0.9707861523528669,0.9771599999999999,2.0,2.0,3.0,2.0
METROBUS,0.946815844056442,0.9642307269870346,0.9353724931783399,0.9521799999999999,4.0,3.0,5.0,4.0
DGPP,0.944087511294902,0.96237795557952,0.9320784754501789,0.95,5.0,4.0,6.0,5.0
GOIÁSFOMENTO,0.9626991722202703,0.9445738051353364,0.9749817439466605,0.96538,3.0,5.0,2.0,3.0
CBM,0.929492489853936,0.9028883935526312,0.9476713432647804,0.9363400000000001,6.0,7.0,4.0,6.0
OVG,0.9135805958909712,0.8981472936082573,0.9240200319739472,0.9196199999999999,7.0,8.0,7.0,7.0
GOIASPREV,0.8685498506390829,0.9103447270641132,0.8417389069002469,0.897,8.0,6.0,12.0,9.0
SECTI,0.8680640358222721,0.80877486425721,0.9100070365117897,0.8985800000000002,9.0,11.0,8.0,8.0
AGRODEFESA,0.8568965516073914,0.7932180581700851,0.9021874372237748,0.8924,10.0,12.0,9.0,10.0
SEDS,0.854921427646027,0.7904771190677486,0.9008009050430842,0.8913399999999999,11.0,13.0,10.0,11.0
ECONOMIA,0.7551613708451207,0.8292904714377424,0.709431459061117,0.8283799999999999,15.0,9.0,17.0,15.0
PC,0.7691168998327889,0.8253526956816405,0.7337509214255458,0.81174,14.0,10.0,16.0,16.0
GOIASGÁS,0.8325532074018731,0.7596577929323739,0.8850230805835764,0.8800000000000001,12.0,15.0,11.0,12.0
AGR,0.7811319355674279,0.7735900542072093,0.786206070818048,0.7994399999999999,13.0,14.0,14.0,19.0
ABC,0.05837755998620694,0.14111361192929656,0.032396859929776436,0.7356,32.0,29.0,36.0,21.0
SIC,0.7019301839832739,0.5880860493396908,0.7898686853688278,0.8340799999999999,16.0,19.0,13.0,13.0
EMATER,0.6931448431551464,0.5770799623628853,0.7832658531656436,0.8320000000000001,17.0,21.0,15.0,14.0
SECULT,0.5113945946543011,0.5866412758490913,0.4666378119141649,0.66732,24.0,20.0,24.0,29.0
SANEAGO,0.6531412606501492,0.6761507759736269,0.6382383864304919,0.69638,18.0,16.0,19.0,24.0
SSP,0.5233585172736948,0.6176989725544918,0.468580127161481,0.68304,23.0,17.0,23.0,26.0
CGE,0.3594161584188762,0.49322615741639214,0.29100925584151927,0.66702,27.0,25.0,27.0,30.0
DETRAN,0.3496370322047637,0.49633913686287634,0.2767673115062531,0.67796,28.0,24.0,28.0,28.0
SECC,0.06309573444801932,0.015848931924611127,0.15856232308335486,0.8,29.0,32.0,29.0,17.0
SEDF,0.06309573444801932,0.015848931924611127,0.15856232308335486,0.8,29.0,32.0,29.0,17.0
SEDUC,0.5348108495313824,0.6115104323385472,0.4890706739422557,0.6389,21.0,18.0,22.0,33.0
PM,0.5330838046521823,0.4328157226762917,0.6125665864546537,0.71052,22.0,27.0,20.0,22.0
SEAPA,0.05898969219157629,0.015153825804489254,0.14604067075088745,0.7428600000000001,31.0,34.0,31.0,20.0
SEAD,0.5472498982839487,0.49658985527251204,0.5838812612236022,0.65618,19.0,23.0,21.0,31.0
SEINFRA,0.055165451949274705,0.012956889971599961,0.144984366683604,0.70218,33.0,35.0,32.0,23.0
SERINT,0.4042462876737189,0.5235880400248155,0.34017012568085797,0.5696999999999999,25.0,22.0,25.0,37.0
IQUEGO,0.05241712659131913,0.012000789417496214,0.1401292812716575,0.67914,34.0,36.0,33.0,27.0
JUCEG,0.3608156359092719,0.4758507744824862,0.3000054246664368,0.5058,26.0,26.0,26.0,43.0
CODEGO,0.5374007228394908,0.3939556826475387,0.6610644170472232,0.68562,20.0,28.0,18.0,25.0
AGEHAB,0.02676688061456837,0.07518652191110507,0.013439550578172295,0.4469,38.0,30.0,45.0,44.0
FAPEG,0.031095985824574412,0.07395368685090341,0.017444827301015972,0.40465999999999996,37.0,31.0,44.0,47.0
CEASA,0.002412372734674924,0.011843133285411329,0.0008348322161654504,0.41634000000000004,47.0,37.0,49.0,46.0
SGG/GOVERNADORIA,0.043595907935517715,0.010925976549042055,0.10972365253409004,0.5419,36.0,38.0,35.0,42.0
SES,0.00255649252767905,0.001870246712244189,0.003148774885263056,0.42184,46.0,40.0,46.0,45.0
SECOM,0.046064010911739284,0.009886501250228028,0.12856732460834894,0.6414799999999999,35.0,39.0,34.0,32.0
GOIASPARCERIAS,0.00025118864315095774,0.00039792387763422425,0.00018484171953696553,0.4,49.0,42.0,50.0,48.0
SER,0.0018352349909944775,0.0009337760537169317,0.0028798207574670174,0.28308,48.0,41.0,47.0,50.0
CELGPAR,0.003981071705534972,0.00025118864315095774,0.02514201030159021,0.6,39.0,43.0,37.0,34.0
GOIAS TELECOM,1.584893192461113e-05,6.3066684478021085e-06,2.9308932452503216e-05,0.2,51.0,51.0,51.0,51.0
GOIAS TURISMO,0.003981071705534972,0.00025118864315095774,0.02514201030159021,0.6,39.0,43.0,37.0,34.0
OUVMULHER,0.00025118864315095774,3.982905479017165e-05,0.0008578275698828083,0.4,49.0,50.0,48.0,48.0
PGE,0.0037593816813185424,0.000241777061243554,0.02344119914855565,0.55018,44.0,48.0,42.0,40.0
PREVCOM-BrC,0.003981071705534972,0.00025118864315095774,0.02514201030159021,0.6,39.0,43.0,37.0,34.0
SECAMI,0.0038384887877264597,0.0002451561679195009,0.024045617691944045,0.5666599999999999,42.0,46.0,40.0,38.0
SEEL,0.003758480078765061,0.00024173145857968371,0.023435000804921412,0.55,45.0,49.0,43.0,41.0
UEG,0.0037631789433594945,0.00024193980197876068,0.023470148019218092,0.55094,43.0,47.0,41.0,39.0
Vice-Gov,1.584893192461113e-05,6.3066684478021085e-06,2.9308932452503216e-05,0.2,51.0,51.0,51.0,51.0
