sigla,total_finalizadas,tmr,qtd_pma,qtd_lai,elegiveis,pma,qtd_pesquisas,rp,nr,qtd_ri,ri,score_tmr,score_pma,score_rp,score_ri,score_nr
ABC,38,6.9474,0,0,38,0.0,7.0,85.7143,10.0,2.0,5.2632,61.0526,100.0,100.0,0.0,100.0
AGEHAB,4870,7.6634,122,0,4870,2.5051,111.0,39.1892,5.8919,32.0,0.6571,46.731,0.0,0.0,100.0,0.0
AGR,5717,7.47,3,0,5717,0.0525,284.0,63.3803,7.419,25.0,0.4373,50.6,100.0,66.9014,100.0,70.9507
AGRODEFESA,210,7.8952,1,0,210,0.4762,15.0,73.3333,8.6667,2.0,0.9524,42.0952,100.0,100.0,100.0,100.0
CBM,288,6.3611,0,0,288,0.0,25.0,66.0,8.24,3.0,1.0417,72.7778,100.0,80.0,100.0,100.0
CEASA,148,9.7095,0,0,148,0.0,3.0,16.6667,4.0,1.0,0.6757,5.8108,100.0,0.0,100.0,0.0
CELGPAR,3,23.6667,2,0,3,66.6667,1.0,100.0,10.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0
CGE,1356,4.2861,19,0,1356,1.4012,130.0,51.5385,6.9462,13.0,0.9587,100.0,59.882,7.6923,100.0,47.3077
CODEGO,54,9.4074,1,0,54,1.8519,14.0,92.8571,9.4286,0.0,0.0,11.8519,14.8148,100.0,100.0,100.0
DETRAN,13784,2.5979,17,0,13784,0.1233,2113.0,52.1533,6.9044,323.0,2.3433,100.0,100.0,10.7667,100.0,45.2201
DGPP,836,4.3409,0,0,836,0.0,37.0,70.2703,9.0,6.0,0.7177,100.0,100.0,100.0,100.0,100.0
ECONOMIA,5725,5.0021,17,0,5725,0.2969,756.0,56.4153,7.7328,94.0,1.6419,99.9581,100.0,32.0767,100.0,86.6402
EMATER,147,9.3469,0,0,147,0.0,30.0,81.6667,9.2,0.0,0.0,13.0612,100.0,100.0,100.0,100.0
FAPEG,99,7.101,1,0,99,1.0101,16.0,43.75,7.625,4.0,4.0404,57.9798,98.9899,0.0,0.0,81.25
GOIASPREV,684,4.9678,1,0,684,0.1462,121.0,61.9835,7.9587,6.0,0.8772,100.0,100.0,59.9174,100.0,97.9339
GOINFRA,1789,4.2895,1,0,1789,0.0559,423.0,73.8771,9.0709,30.0,1.6769,100.0,100.0,100.0,100.0,100.0
GOIÁSFOMENTO,104,5.625,0,0,104,0.0,16.0,75.0,7.875,2.0,1.9231,87.5,100.0,100.0,100.0,93.75
IQUEGO,42,8.5238,1,0,42,2.381,12.0,100.0,9.9167,0.0,0.0,29.5238,0.0,100.0,100.0,100.0
JUCEG,692,6.2876,1,0,692,0.1445,107.0,54.6729,6.4579,14.0,2.0231,74.2486,100.0,23.3645,100.0,22.8972
METROBUS,150,4.0133,0,0,150,0.0,17.0,64.7059,7.4706,1.0,0.6667,100.0,100.0,73.5294,100.0,73.5294
OVG,1089,6.3728,0,0,1089,0.0,67.0,67.1642,8.0448,9.0,0.8264,72.5436,100.0,85.8209,100.0,100.0
PC,2327,5.2927,9,0,2327,0.3868,88.0,54.5455,6.9205,25.0,1.0743,94.147,100.0,22.7273,100.0,46.0227
PGE,205,12.7902,18,0,205,8.7805,28.0,66.0714,8.2857,4.0,1.9512,0.0,0.0,80.3571,100.0,100.0
PM,424,10.8561,2,0,424,0.4717,37.0,64.8649,7.9189,5.0,1.1792,0.0,100.0,74.3243,100.0,95.9459
PREVCOM-BrC,13,17.9231,1,0,13,7.6923,1.0,100.0,10.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0
SANEAGO,11823,7.4656,41,0,11823,0.3468,801.0,60.362,6.799,90.0,0.7612,50.6876,100.0,51.8102,100.0,39.9501
SEAD,5733,9.4364,192,0,5733,3.349,541.0,61.9224,7.6044,55.0,0.9594,11.2716,0.0,59.6118,100.0,80.2218
SEAPA,53,10.5472,0,0,53,0.0,7.0,64.2857,9.5714,0.0,0.0,0.0,100.0,71.4286,100.0,100.0
SECAMI,47,62.6596,19,0,47,40.4255,3.0,66.6667,8.3333,0.0,0.0,0.0,0.0,83.3333,100.0,100.0
SECC,49,10.3673,1,0,49,2.0408,11.0,86.3636,9.0909,1.0,2.0408,0.0,0.0,100.0,100.0,100.0
SECOM,20,8.2,1,0,20,5.0,5.0,70.0,8.0,0.0,0.0,36.0,0.0,100.0,100.0,100.0
SECTI,265,7.5283,2,0,265,0.7547,23.0,78.2609,8.6522,5.0,1.8868,49.434,100.0,100.0,100.0,100.0
SECULT,262,6.958,4,0,262,1.5267,31.0,66.129,7.9677,9.0,3.4351,60.8397,47.3282,80.6452,6.4885,98.3871
SEDF,6,10.1667,0,0,6,0.0,2.0,75.0,9.5,0.0,0.0,0.0,100.0,100.0,100.0,100.0
SEDS,1746,7.7881,34,0,1746,1.9473,190.0,76.8421,8.4211,8.0,0.4582,44.2383,5.2692,100.0,100.0,100.0
SEDUC,14399,6.8122,20,0,14399,0.1389,1450.0,53.1724,7.3193,420.0,2.9169,63.7558,100.0,15.8621,58.3131,65.9655
SEEL,122,17.8115,28,0,122,22.9508,7.0,78.5714,7.1429,2.0,1.6393,0.0,0.0,100.0,100.0,57.1429
SEINFRA,87,6.6782,3,0,87,3.4483,12.0,75.0,8.75,1.0,1.1494,66.4368,0.0,100.0,100.0,100.0
SEMAD,4356,3.609,22,0,4356,0.5051,368.0,68.3424,9.0761,7.0,0.1607,100.0,100.0,91.712,100.0,100.0
SER,174,12.3563,6,0,174,3.4483,17.0,58.8235,7.7059,4.0,2.2989,0.0,0.0,44.1176,100.0,85.2941
SERINT,224,6.6741,2,0,224,0.8929,58.0,50.0,7.2241,9.0,4.0179,66.5179,100.0,0.0,0.0,61.2069
SES,6556,10.7183,122,0,6556,1.8609,409.0,42.7873,6.2983,63.0,0.961,0.0,13.9109,0.0,100.0,14.9144
SGG/GOVERNADORIA,256,10.1914,5,0,256,1.9531,28.0,62.5,7.8571,5.0,1.9531,0.0,4.6875,62.5,100.0,92.8571
SIC,23,9.6087,0,0,23,0.0,1.0,100.0,10.0,0.0,0.0,7.8261,100.0,100.0,100.0,100.0
SSP,5158,6.9058,28,0,5158,0.5428,504.0,54.3651,7.3929,65.0,1.2602,61.8845,100.0,21.8254,100.0,69.6429
UEG,1516,16.6359,158,0,1516,10.4222,145.0,65.8621,8.1379,20.0,1.3193,0.0,0.0,79.3103,100.0,100.0
Vice-Gov,4,17.75,1,0,4,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
