sigla,igro_boot_media,igro_boot_p05,igro_boot_p50,igro_boot_p95,amplitude_pp,igro_uniforme
ABC,0.3767,0.2294,0.3684,0.5643,0.3349,0.3607
AGEHAB,0.0,0.0,0.0,0.0,0.0,0.0
AGR,75.1811,74.3332,75.1886,76.0158,1.6826,75.1811
AGRODEFESA,84.1104,82.8132,84.114,85.3072,2.494,84.1098
CBM,89.7473,89.2207,89.7463,90.2657,1.045,89.7465
CEASA,0.001,0.0005,0.0009,0.0016,0.0011,0.0009
CELGPAR,0.0017,0.0009,0.0016,0.0028,0.0019,0.0016
CGE,46.5387,44.7063,46.5769,48.3584,3.6521,46.5218
CODEGO,44.5555,42.7107,44.5507,46.4444,3.7337,44.555
DETRAN,54.6557,52.7002,54.6504,56.6277,3.9275,54.6365
DGPP,100.0,100.0,100.0,100.0,0.0,100.0
ECONOMIA,77.411,76.0035,77.41,78.836,2.8325,77.4008
EMATER,66.5675,64.1687,66.5654,68.8081,4.6393,66.5575
FAPEG,0.0014,0.0008,0.0014,0.0024,0.0016,0.0014
GOIASPREV,89.8912,89.1397,89.8859,90.633,1.4932,89.887
GOINFRA,100.0,100.0,100.0,100.0,0.0,100.0
GOIÁSFOMENTO,96.1152,95.8976,96.1143,96.3418,0.4442,96.116
IQUEGO,0.3226,0.1988,0.312,0.477,0.2782,0.3119
JUCEG,52.465,50.8939,52.4424,54.0338,3.1399,52.4572
METROBUS,88.4277,87.8314,88.429,89.032,1.2007,88.4269
OVG,90.9578,90.4561,90.9602,91.4641,1.0081,90.9575
PC,62.9125,61.3454,62.9318,64.4741,3.1287,62.9021
PGE,0.0016,0.0009,0.0015,0.0027,0.0018,0.0015
PM,0.3875,0.2265,0.3728,0.5835,0.3571,0.3721
PREVCOM-BrC,0.0017,0.0009,0.0016,0.0028,0.0019,0.0016
SANEAGO,63.7044,62.6598,63.693,64.7393,2.0795,63.704
SEAD,0.2294,0.1421,0.2223,0.3382,0.1961,0.222
SEAPA,0.3876,0.2265,0.3729,0.584,0.3575,0.3722
SECAMI,0.0016,0.0009,0.0015,0.0027,0.0018,0.0015
SECC,0.0017,0.0009,0.0016,0.0028,0.0019,0.0016
SECOM,0.3357,0.2076,0.3248,0.4971,0.2895,0.3245
SECTI,86.857,85.7652,86.8606,87.8626,2.0974,86.8571
SECULT,43.1001,41.3497,43.0791,44.8426,3.4929,43.0719
SEDF,0.4147,0.2424,0.3987,0.6252,0.3828,0.3981
SEDS,47.1539,44.9318,47.1529,49.3498,4.4179,47.1529
SEDUC,52.2538,50.9793,52.2418,53.6502,2.671,52.2387
SEEL,0.0015,0.0008,0.0014,0.0025,0.0017,0.0014
SEINFRA,0.3797,0.2349,0.3683,0.5661,0.3312,0.3668
SEMAD,98.2851,98.1451,98.2849,98.4227,0.2776,98.2845
SER,0.0014,0.0007,0.0013,0.0023,0.0015,0.0013
SERINT,0.0014,0.0008,0.0013,0.0023,0.0015,0.0013
SES,0.0008,0.0004,0.0007,0.0013,0.0009,0.0007
SGG/GOVERNADORIA,0.2011,0.1217,0.1944,0.2995,0.1778,0.1936
SIC,60.0928,57.3907,60.086,62.6304,5.2398,60.0771
SSP,62.3382,60.9127,62.3485,63.7737,2.8611,62.3281
UEG,0.0016,0.0009,0.0015,0.0027,0.0018,0.0015
Vice-Gov,0.0,0.0,0.0,0.0,0.0,0.0
