sigla,igro_uniforme,classe_uniforme,igro_qualidade,classe_qualidade,igro_tempestividade,classe_tempestividade,igro_desenho_tecnico,classe_desenho_tecnico,variacao_max_pp
ABC,0.3607,Crítico,0.3697,Crítico,1.401,Crítico,1.401,Crítico,1.0403
AGEHAB,0.0,Crítico,0.0,Crítico,0.0,Crítico,0.0,Crítico,0.0
AGR,75.1811,Moderado,74.9412,Moderado,73.921,Moderado,71.2177,Moderado,1.26
AGRODEFESA,84.1098,Baixo,87.8284,Baixo,80.5486,Baixo,80.5486,Baixo,7.2797
CBM,89.7465,Baixo,90.1721,Baixo,88.3319,Baixo,87.3519,Baixo,1.8402
CEASA,0.0009,Crítico,0.0001,Crítico,0.0031,Crítico,0.0002,Crítico,0.003
CELGPAR,0.0016,Crítico,0.0251,Crítico,0.0001,Crítico,0.0016,Crítico,0.025
CGE,46.5218,Alto,40.4428,Alto,47.0734,Alto,41.9851,Alto,6.6305
CODEGO,44.555,Alto,54.5346,Alto,36.4016,Crítico,44.0607,Alto,18.133
DETRAN,54.6365,Alto,46.9735,Alto,56.8481,Alto,48.875,Alto,9.8746
DGPP,100.0,Baixo,100.0,Baixo,100.0,Baixo,100.0,Baixo,0.0
ECONOMIA,77.4008,Moderado,72.6022,Moderado,77.9562,Moderado,73.1216,Moderado,5.3539
EMATER,66.5575,Moderado,73.6881,Moderado,60.1168,Moderado,60.1168,Moderado,13.5713
FAPEG,0.0014,Crítico,0.0003,Crítico,0.0053,Crítico,0.0013,Crítico,0.005
GOIASPREV,89.887,Baixo,87.5228,Baixo,89.9809,Baixo,87.6143,Baixo,2.4581
GOINFRA,100.0,Baixo,100.0,Baixo,100.0,Baixo,100.0,Baixo,0.0
GOIÁSFOMENTO,96.116,Baixo,96.4482,Baixo,95.785,Baixo,95.4765,Baixo,0.6631
IQUEGO,0.3119,Crítico,1.3199,Crítico,0.0737,Crítico,1.1683,Crítico,1.2461
JUCEG,52.4572,Alto,45.9926,Alto,55.6353,Alto,48.0582,Alto,9.6427
METROBUS,88.4269,Baixo,85.7493,Baixo,89.7969,Baixo,87.0778,Baixo,4.0476
OVG,90.9575,Baixo,91.7251,Baixo,89.5094,Baixo,88.8276,Baixo,2.2157
PC,62.9021,Moderado,56.3574,Alto,65.1939,Moderado,58.2348,Alto,8.8365
PGE,0.0015,Crítico,0.0238,Crítico,0.0001,Crítico,0.0015,Crítico,0.0237
PM,0.3721,Crítico,1.4564,Crítico,0.0937,Crítico,0.0921,Crítico,1.3628
PREVCOM-BrC,0.0016,Crítico,0.0251,Crítico,0.0001,Crítico,0.0016,Crítico,0.025
SANEAGO,63.9119,Moderado,61.1627,Moderado,64.648,Moderado,59.8005,Alto,3.4852
SEAD,0.222,Crítico,0.95,Crítico,0.0505,Crítico,0.7721,Crítico,0.8994
SEAPA,0.3722,Crítico,1.457,Crítico,0.0935,Crítico,0.0919,Crítico,1.3635
SECAMI,0.0015,Crítico,0.024,Crítico,0.0001,Crítico,0.0015,Crítico,0.0239
SECC,0.0016,Crítico,0.0251,Crítico,0.0001,Crítico,0.0016,Crítico,0.025
SECOM,0.3245,Crítico,1.3597,Crítico,0.0775,Crítico,1.2277,Crítico,1.2822
SECTI,86.8571,Baixo,89.9713,Baixo,83.8506,Baixo,83.8506,Baixo,6.1206
SECULT,43.0719,Alto,45.3111,Alto,46.4414,Alto,49.4731,Alto,3.3695
SEDF,0.3981,Crítico,1.5849,Crítico,0.1,Crítico,0.1,Crítico,1.4849
SEDS,47.1529,Alto,56.9025,Alto,39.0738,Crítico,52.4458,Alto,17.8287
SEDUC,52.2387,Alto,47.7255,Alto,53.5753,Alto,47.8573,Alto,5.8498
SEEL,0.0014,Crítico,0.0218,Crítico,0.0001,Crítico,0.0014,Crítico,0.0217
SEINFRA,0.3668,Crítico,1.4906,Crítico,0.0903,Crítico,1.4309,Crítico,1.4003
SEMAD,98.2845,Baixo,97.8603,Baixo,98.2845,Baixo,97.8603,Baixo,0.4242
SER,0.0013,Crítico,0.0197,Crítico,0.0001,Crítico,0.0013,Crítico,0.0196
SERINT,0.0013,Crítico,0.0003,Crítico,0.0053,Crítico,0.0013,Crítico,0.005
SES,0.0007,Crítico,0.0007,Crítico,0.0002,Crítico,0.0001,Crítico,0.0005
SGG/GOVERNADORIA,0.1936,Crítico,0.8741,Crítico,0.0419,Crítico,0.0554,Crítico,0.8322
SIC,60.0771,Moderado,68.2389,Moderado,52.8915,Alto,52.8915,Alto,15.3473
SSP,62.3281,Moderado,58.1028,Alto,61.9611,Moderado,56.3912,Alto,4.2253
UEG,0.0015,Crítico,0.0237,Crítico,0.0001,Crítico,0.0015,Crítico,0.0236
Vice-Gov,0.0,Crítico,0.0,Crítico,0.0,Crítico,0.0,Crítico,0.0
