sigla,igro_geom_uniforme,igro_arit_uniforme,delta_pp,classe_geom,classe_arit,mudou_classe
ABC,0.3607,72.2105,71.8498,Crítico,Moderado,True
AGEHAB,0.0,29.3462,29.3462,Crítico,Crítico,False
AGR,75.1811,77.6904,2.5094,Moderado,Moderado,False
AGRODEFESA,84.1098,88.419,4.3092,Baixo,Baixo,False
CBM,89.7465,90.5556,0.809,Baixo,Baixo,False
CEASA,0.0009,41.1622,41.1613,Crítico,Alto,True
CELGPAR,0.0016,60.0,59.9984,Crítico,Moderado,True
CGE,46.5218,62.9764,16.4546,Alto,Moderado,True
CODEGO,44.555,65.3333,20.7783,Alto,Moderado,True
DETRAN,54.6365,71.1973,16.5609,Alto,Moderado,True
DGPP,100.0,100.0,0.0,Baixo,Baixo,False
ECONOMIA,77.4008,83.735,6.3342,Moderado,Baixo,True
EMATER,66.5575,82.6122,16.0548,Moderado,Baixo,True
FAPEG,0.0014,47.6439,47.6426,Crítico,Alto,True
GOIASPREV,89.887,91.5702,1.6832,Baixo,Baixo,False
GOINFRA,100.0,100.0,0.0,Baixo,Baixo,False
GOIÁSFOMENTO,96.116,96.25,0.134,Baixo,Baixo,False
IQUEGO,0.3119,65.9048,65.5928,Crítico,Moderado,True
JUCEG,52.4572,64.102,11.6448,Alto,Moderado,True
METROBUS,88.4269,89.4118,0.9849,Baixo,Baixo,False
OVG,90.9575,91.6729,0.7154,Baixo,Baixo,False
PC,62.9021,72.5794,9.6773,Moderado,Moderado,False
PGE,0.0015,56.0714,56.0699,Crítico,Alto,True
PM,0.3721,74.0541,73.682,Crítico,Moderado,True
PREVCOM-BrC,0.0016,60.0,59.9984,Crítico,Moderado,True
SANEAGO,63.704,68.4896,4.7855,Moderado,Moderado,False
SEAD,0.222,50.221,49.9991,Crítico,Alto,True
SEAPA,0.3722,74.2857,73.9135,Crítico,Moderado,True
SECAMI,0.0015,56.6667,56.6651,Crítico,Alto,True
SECC,0.0016,60.0,59.9984,Crítico,Moderado,True
SECOM,0.3245,67.2,66.8755,Crítico,Moderado,True
SECTI,86.8571,89.8868,3.0297,Baixo,Baixo,False
SECULT,43.0719,58.7377,15.6658,Alto,Alto,False
SEDF,0.3981,80.0,79.6019,Crítico,Baixo,True
SEDS,47.1529,69.9015,22.7486,Alto,Moderado,True
SEDUC,52.2387,60.7793,8.5406,Alto,Moderado,True
SEEL,0.0014,51.4286,51.4272,Crítico,Alto,True
SEINFRA,0.3668,73.2874,72.9205,Crítico,Moderado,True
SEMAD,98.2845,98.3424,0.0579,Baixo,Baixo,False
SER,0.0013,45.8824,45.881,Crítico,Alto,True
SERINT,0.0013,45.545,45.5436,Crítico,Alto,True
SES,0.0007,25.7651,25.7643,Crítico,Crítico,False
SGG/GOVERNADORIA,0.1936,52.0089,51.8153,Crítico,Alto,True
SIC,60.0771,81.5652,21.4881,Moderado,Baixo,True
SSP,62.3281,70.6705,8.3424,Moderado,Moderado,False
UEG,0.0015,55.8621,55.8606,Crítico,Alto,True
Vice-Gov,0.0,20.0,20.0,Crítico,Crítico,False
